,Date,Date_formatted,Competition,Home_or_Away,Venue,Home_team,Away_team,Home_team_goals,Away_team_goals,Win/Loss/Draw
Match_day_1,Saturday 10th July 2021,2021-07-10,Premier Sports Cup,A,Balmoor,Peterhead,Heart of Midlothian,0,2,W
Match_day_2,Tuesday 13th July 2021,2021-07-13,Premier Sports Cup,H,Tynecastle Park,Heart of Midlothian,Cove Rangers,3,0,W
Match_day_3,Saturday 17th July 2021,2021-07-17,Friendly,H,Tynecastle,Heart of Midlothian,Sunderland,0,2,L
Match_day_4,Tuesday 20th July 2021,2021-07-20,Premier Sports Cup,A,Forthbank,Stirling Albion,Heart of Midlothian,0,2,W
Match_day_5,Sunday 25th July 2021,2021-07-25,Premier Sports Cup,H,Tynecastle Park,Heart of Midlothian,Inverness CT,1,0,W
Match_day_6,Saturday 31st July 2021,2021-07-31,cinch Premiership,H,Tynecastle Park,Heart of Midlothian,Celtic,2,1,W
Match_day_7,Saturday 7th August 2021,2021-08-07,cinch Premiership,A,St Mirren Park,St Mirren,Heart of Midlothian,1,2,W
Match_day_8,Sunday 15th August 2021,2021-08-15,Premier Sports Cup,A,Celtic Park,Celtic,Heart of Midlothian,3,2,L
Match_day_9,Sunday 22nd August 2021,2021-08-22,cinch Premiership,H,Tynecastle Park,Heart of Midlothian,Aberdeen,1,1,D
Match_day_10,Saturday 28th August 2021,2021-08-28,cinch Premiership,A,Tannadice,Dundee United,Heart of Midlothian,0,2,W
Match_day_11,Sunday 12th September 2021,2021-09-12,cinch Premiership,H,Tynecastle Park,Heart of Midlothian,Hibernian,0,0,D
Match_day_12,Saturday 18th September 2021,2021-09-18,cinch Premiership,A,Global Energy Stadium,Ross County,Heart of Midlothian,2,2,D
Match_day_13,Saturday 25th September 2021,2021-09-25,cinch Premiership,H,Tynecastle Park,Heart of Midlothian,Livingston,3,0,W
Match_day_14,Saturday 2nd October 2021,2021-10-02,cinch Premiership,H,Tynecastle Park,Heart of Midlothian,Motherwell,2,0,W
Match_day_15,Saturday 16th October 2021,2021-10-16,cinch Premiership,A,Ibrox,Rangers,Heart of Midlothian,1,1,D
Match_day_16,Saturday 23rd October 2021,2021-10-23,cinch Premiership,H,Tynecastle Park,Heart of Midlothian,Dundee,1,1,D
Match_day_17,Wednesday 27th October 2021,2021-10-27,cinch Premiership,A,McDiarmid Park,St Johnstone,Heart of Midlothian,1,1,D
Match_day_18,Saturday 30th October 2021,2021-10-30,cinch Premiership,A,Pittodrie,Aberdeen,Heart of Midlothian,2,1,L
Match_day_19,Saturday 6th November 2021,2021-11-06,cinch Premiership,H,Tynecastle Park,Heart of Midlothian,Dundee United,TBD,TBD,TBD
Match_day_20,Saturday 20th November 2021,2021-11-20,cinch Premiership,A,Fir Park,Motherwell,Heart of Midlothian,TBD,TBD,TBD
Match_day_21,Saturday 27th November 2021,2021-11-27,cinch Premiership,H,Tynecastle Park,Heart of Midlothian,St Mirren,TBD,TBD,TBD
Match_day_22,Thursday 2nd December 2021,2021-12-02,cinch Premiership,A,Celtic Park,Celtic,Heart of Midlothian,TBD,TBD,TBD
Match_day_23,Sunday 5th December 2021,2021-12-05,cinch Premiership,A,Tony Macaroni Arena,Livingston,Heart of Midlothian,TBD,TBD,TBD
Match_day_24,Sunday 12th December 2021,2021-12-12,cinch Premiership,H,Tynecastle Park,Heart of Midlothian,Rangers,TBD,TBD,TBD
Match_day_25,Saturday 18th December 2021,2021-12-18,cinch Premiership,A,Dens Park,Dundee,Heart of Midlothian,TBD,TBD,TBD
Match_day_26,Sunday 26th December 2021,2021-12-26,cinch Premiership,H,Tynecastle Park,Heart of Midlothian,Ross County,TBD,TBD,TBD
Match_day_27,Wednesday 29th December 2021,2021-12-29,cinch Premiership,H,Tynecastle Park,Heart of Midlothian,St Johnstone,TBD,TBD,TBD
Match_day_28,Monday 3rd January 2022,2022-01-03,cinch Premiership,A,Easter Road,Hibernian,Heart of Midlothian,TBD,TBD,TBD
Match_day_29,Wednesday 26th January 2022,2022-01-26,cinch Premiership,H,Tynecastle Park,Heart of Midlothian,Celtic,TBD,TBD,TBD
Match_day_30,Saturday 29th January 2022,2022-01-29,cinch Premiership,H,Tynecastle Park,Heart of Midlothian,Motherwell,TBD,TBD,TBD
Match_day_31,Saturday 5th February 2022,2022-02-05,cinch Premiership,A,Ibrox,Rangers,Heart of Midlothian,TBD,TBD,TBD
Match_day_32,Wednesday 9th February 2022,2022-02-09,cinch Premiership,H,Tynecastle Park,Heart of Midlothian,Dundee,TBD,TBD,TBD
Match_day_33,Saturday 19th February 2022,2022-02-19,cinch Premiership,A,McDiarmid Park,St Johnstone,Heart of Midlothian,TBD,TBD,TBD
Match_day_34,Saturday 26th February 2022,2022-02-26,cinch Premiership,A,St Mirren Park,St Mirren,Heart of Midlothian,TBD,TBD,TBD
Match_day_35,Wednesday 2nd March 2022,2022-03-02,cinch Premiership,H,Tynecastle Park,Heart of Midlothian,Aberdeen,TBD,TBD,TBD
Match_day_36,Saturday 5th March 2022,2022-03-05,cinch Premiership,A,Tannadice,Dundee United,Heart of Midlothian,TBD,TBD,TBD
Match_day_37,Saturday 19th March 2022,2022-03-19,cinch Premiership,H,Tynecastle Park,Heart of Midlothian,Livingston,TBD,TBD,TBD
Match_day_38,Saturday 2nd April 2022,2022-04-02,cinch Premiership,A,Global Energy Stadium,Ross County,Heart of Midlothian,TBD,TBD,TBD
Match_day_39,Saturday 9th April 2022,2022-04-09,cinch Premiership,H,Tynecastle Park,Heart of Midlothian,Hibernian,TBD,TBD,TBD
